key,src,mt,cos,comet
rule.sca.l.common.7121.name,Ubuntu-font-1.0 라이선스 컴포넌트 사용,Using the Ubuntu-font-1.0 licensed component,0.9372472167015071,0.8516324758529661
rule.sast.c.vbnet.2743.example.0.safe,라인 1: Main() 서브 루틴을 삭제합니다.,Line 1: Delete the Main() subroutine.,0.9501045942306511,0.8828649520874021
rule.sast.sw.objc.2970.example.0.safe,라인 7: 두 번째 인자값을 SSL_VERIFY_PEER 로 설정하도록 합니다.,Line 7: Set the second argument to SSL_VERIFY_PEER.,0.951955676078796,0.8709328174591061
cschk.WEAK_XML_TRANSFORMERS_SECURITY.CSHARP.defect.use,.Net Framework {0} 버전에서 {1}를 사용합니다.,The .Net Framework version {0} uses {1}.,0.9396930932998651,0.860552787780761
rule.saqt.q.abap.1756.option.ignore_table.name,무시할 테이블명,Table name to ignore,0.9048548340797421,0.8560070991516111
jfsyn.BAD_PARAMETER_IN_GEOCODER_GET_FROM_LOCATION_LATITUDE.defect,Geocoder.getFromLocation의 latitude 인자에 허용 범위를 벗어난 값이 전달되었습니다.,The value passed to parameter latitude of Geocoder.getFromLocation is out of allowed range.,0.9086916446685791,0.863810658454895
rule.sast.q.ccpp.94.example.0.dangerous,"라인 2: set_sleep_func() 함수를 정의했습니다.
라인 4: sleep_FB13() 함수를 호출했습니다.","Line 2: set_sleep_func() function is defined.
Line 4: sleep_FB13() function is called.",0.952485918998718,0.8533806800842281
rule.sca.l.common.7066.description,"fwlw License(SPDX ID: fwlw) 라이선스에는 고지 의무, 제약 사항, 코드 공개 범위 정보가 없습니다. 라이선스 전문을 확인해야 합니다.","The fwlw License (SPDX ID: fwlw) license has no notice obligations, restrictions, or code disclosure coverage information. You should read the full license.",0.9142817258834831,0.853475928306579
rule.sast.sw.py.3127.example.0.dangerous,라인 6-9: 오류 페이지를 선언하지 않아 위험합니다.,Line 6-9: This is dangerous because it doesn't declare an error page.,0.922315120697021,0.853437185287475
rule.sast.sw.php.1665.example.0.dangerous,라인 6: 외부의 신뢰할 수 없는 입력이 XQuery 쿼리문 문자열을 생성하는데 사용됩니다.,Line 6: An untrusted external input is used to generate XQuery strings.,0.9500846862792961,0.853784441947937
rule.sast.sw.cs.2797.option.candidate_class.description,비밀번호를 사용하는 클래스 이름을 작성합니다.,Write a class name using a password.,0.9051324129104611,0.8654538393020631
horus.COMMON.changed_field_0,{0} 필드의 값이 변경됩니다.,The value of the {0} field is changed.,0.9389425516128541,0.874436378479003
kotlinchk.WEAK_ENCRYPTION.INSUFFICIENT_KEY_SIZE.KOTLIN.defect,{0} 크기를 갖는 키는 RSA 알고리즘에 사용되기에는 충분하지 않습니다. 키의 크기는 {1} 이상이어야 합니다.,A key of size {0} is not sufficient to be used in the RSA algorithm. The key must be at least {1} in size.,0.9149527549743651,0.882573068141937
crulechk.BAD_CALL.REQUIRED.LIB_CALL.msg,이 함수는 필요한 함수 입니다.,This function is a necessary function.,0.9113889932632441,0.8817332386970521
